llm,question,participant,codebleu,ngram_match,weighted_ngram_match,ast_match,dataflow_match
DEEPSEEK,StringArrayEncoding,4,0.260746555,0.188508618,0.276057287,0.401162791,0.177257525
DEEPSEEK,StringArrayEncoding,5,0.296490597,0.218605178,0.299228952,0.427325581,0.240802676
DEEPSEEK,StringArrayEncoding,6,0.268554405,0.20906336,0.265947603,0.418604651,0.180602007
DEEPSEEK,StringArrayEncoding,7,0.291925219,0.240311901,0.255775261,0.4375,0.234113712
GEMINI,StringArrayEncoding,1,0.217219184,0.132701977,0.220550975,0.351744186,0.163879599
GEMINI,StringArrayEncoding,2,0.235316292,0.188164183,0.253776689,0.382267442,0.117056856
GEMINI,StringArrayEncoding,3,0.172302824,0.070854531,0.147523754,0.360465116,0.110367893
GEMINI,StringArrayEncoding,4,0.229465004,0.112603278,0.232509402,0.405523256,0.16722408
GEMINI,StringArrayEncoding,5,0.240221013,0.168741371,0.2126918,0.372093023,0.20735786
GEMINI,StringArrayEncoding,6,0.225286916,0.099602086,0.239128218,0.418604651,0.143812709
GEMINI,StringArrayEncoding,7,0.22960604,0.118101113,0.242266153,0.414244186,0.143812709
GPT,StringArrayEncoding,1,0.219972391,0.103876465,0.239039078,0.409883721,0.127090301
GPT,StringArrayEncoding,2,0.238752525,0.152116232,0.263732323,0.395348837,0.143812709
GPT,StringArrayEncoding,3,0.179477817,0.070530073,0.149213854,0.367732558,0.130434783
GPT,StringArrayEncoding,4,0.248197563,0.13914755,0.269126484,0.427325581,0.157190635
GPT,StringArrayEncoding,5,0.22782559,0.097577117,0.153301933,0.422965116,0.237458194
GPT,StringArrayEncoding,6,0.225947223,0.113028392,0.232266099,0.411337209,0.147157191
GPT,StringArrayEncoding,7,0.250083289,0.151204765,0.251234247,0.427325581,0.170568562
