rule,category,application,rule_description,llm,question,seniority,participant,file,line,message,effort,severity,type,status,component
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,3,ClaudeArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/ClaudeArrayDifferenceSeniorParticipant3.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,4,ClaudeArrayDifferenceSeniorParticipant4.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/ClaudeArrayDifferenceSeniorParticipant4.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,4,ClaudeArrayDifferenceSeniorParticipant4.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/ClaudeArrayDifferenceSeniorParticipant4.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,5,ClaudeArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/ClaudeArrayDifferenceSeniorParticipant5.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,CLAUDE,ARRAY_DIFFERENCE,SENIOR,5,ClaudeArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:CLAUDE.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/ClaudeArrayDifferenceSeniorParticipant5.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,3,DeepseekArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/DeepseekArrayDifferenceSeniorParticipant3.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,3,DeepseekArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/DeepseekArrayDifferenceSeniorParticipant3.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,4,DeepseekArrayDifferenceSeniorParticipant4.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/DeepseekArrayDifferenceSeniorParticipant4.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,4,DeepseekArrayDifferenceSeniorParticipant4.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/DeepseekArrayDifferenceSeniorParticipant4.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,5,DeepseekArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/DeepseekArrayDifferenceSeniorParticipant5.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,DEEPSEEK,ARRAY_DIFFERENCE,SENIOR,5,DeepseekArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:DEEPSEEK.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/DeepseekArrayDifferenceSeniorParticipant5.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,PLENO,6,GptArrayDifferencePlenoParticipant6.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/GptArrayDifferencePlenoParticipant6.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,PLENO,6,GptArrayDifferencePlenoParticipant6.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/GptArrayDifferencePlenoParticipant6.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,1,GptArrayDifferenceSeniorParticipant1.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/GptArrayDifferenceSeniorParticipant1.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,1,GptArrayDifferenceSeniorParticipant1.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_1/GptArrayDifferenceSeniorParticipant1.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,3,GptArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/GptArrayDifferenceSeniorParticipant3.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,3,GptArrayDifferenceSeniorParticipant3.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_3/GptArrayDifferenceSeniorParticipant3.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,5,GptArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/GptArrayDifferenceSeniorParticipant5.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,5,GptArrayDifferenceSeniorParticipant5.cs,3,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_5/GptArrayDifferenceSeniorParticipant5.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_2/Program.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,ARRAY_DIFFERENCE,SENIOR,2,Program.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_2/Program.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GPT,ARRAY_DIFFERENCE,SENIOR,4,ArrayUtils.cs,1,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.ARRAY_DIFFERENCE.SENIOR.PARTICIPANT_4/ArrayUtils.cs
S1210,Estrutura,Responsabilidades únicas e claras,"Equals and the comparison operators should be overridden when implementing ""IComparable""",GPT,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,8,"When implementing IComparable<T>, you should also override Equals, ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GPT,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,197,Consider using more general type 'System.Collections.Generic.IReadOnlyCollection<double>' instead of 'System.Collections.Generic.IReadOnlyList<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GPT,SEQUENCE_COMPARISON,JUNIOR,7,Fraction.cs,197,Consider using more general type 'System.Collections.Generic.IReadOnlyCollection<double>' instead of 'System.Collections.Generic.IReadOnlyList<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.JUNIOR.PARTICIPANT_7/Fraction.cs
S1210,Estrutura,Responsabilidades únicas e claras,"Equals and the comparison operators should be overridden when implementing ""IComparable""",GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,7,"When implementing IComparable<T>, you should also override Equals, ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,71,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,71,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Legibilidade,"Funções pequenas, propósito único e poucos parâmetros",Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Estrutura,Simplicidade arquitetural,Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Compreensibilidade,"Código óbvio, simples e convincente",Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S3776,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1541,Estrutura,Classes e funções bem definidas,Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1541,Estrutura,Simplicidade arquitetural,Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1541,Testabilidade,Funções puras,Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1541,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S138,Legibilidade,"Funções pequenas, propósito único e poucos parâmetros",Functions should not have too many lines of code,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,"This method 'Main' has 83 lines, which is greater than the 80 lines authorized. Split it into smaller methods.",20min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S138,Estrutura,Simplicidade arquitetural,Functions should not have too many lines of code,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,"This method 'Main' has 83 lines, which is greater than the 80 lines authorized. Split it into smaller methods.",20min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S138,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Functions should not have too many lines of code,GPT,SEQUENCE_COMPARISON,PLENO,6,Fraction.cs,73,"This method 'Main' has 83 lines, which is greater than the 80 lines authorized. Split it into smaller methods.",20min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.PLENO.PARTICIPANT_6/Fraction.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,SENIOR,1,Fracao.cs,171,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_1/Fracao.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,SENIOR,1,Fracao.cs,171,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_1/Fracao.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,SENIOR,2,Fraction.cs,40,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_2/Fraction.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,SENIOR,2,Fraction.cs,40,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_2/Fraction.cs
S1541,Estrutura,Classes e funções bem definidas,Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1541,Estrutura,Simplicidade arquitetural,Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1541,Testabilidade,Funções puras,Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1541,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Methods and properties should not be too complex,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,The Cyclomatic Complexity of this method is 17 which is greater than 10 authorized.,10min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Legibilidade,"Funções pequenas, propósito único e poucos parâmetros",Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Estrutura,Simplicidade arquitetural,Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Compreensibilidade,"Código óbvio, simples e convincente",Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S3776,Manutenabilidade,"Facilidade de modificar, estender ou corrigir",Cognitive Complexity of methods should not be too high,GPT,SEQUENCE_COMPARISON,SENIOR,3,Program.cs,12,Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.,6min,CRITICAL,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_3/Program.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,SENIOR,4,Fraction.cs,67,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Fraction.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GPT,SEQUENCE_COMPARISON,SENIOR,4,Fraction.cs,67,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Fraction.cs
S3242,Estrutura,Baixo acoplamento,Method parameters should be declared with base types,GPT,SEQUENCE_COMPARISON,SENIOR,4,Fraction.cs,177,Consider using more general type 'System.Collections.Generic.ICollection<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Fraction.cs
S3242,Testabilidade,Baixa dependência,Method parameters should be declared with base types,GPT,SEQUENCE_COMPARISON,SENIOR,4,Fraction.cs,177,Consider using more general type 'System.Collections.Generic.ICollection<double>' instead of 'System.Collections.Generic.List<double>'.,5min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_4/Fraction.cs
S1210,Estrutura,Responsabilidades únicas e claras,"Equals and the comparison operators should be overridden when implementing ""IComparable""",GPT,SEQUENCE_COMPARISON,SENIOR,5,Fraction.cs,8,"When implementing IComparable<T>, you should also override Equals, ==, !=, <, <=, >, and >=.",15min,MINOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/Fraction.cs
S125,Documentação,Evitar comentários redundantes ou enganosos,Sections of code should not be commented out,GPT,SEQUENCE_COMPARISON,SENIOR,5,Fraction.cs,222,Remove this commented out code.,5min,MAJOR,CODE_SMELL,OPEN,AIConnection:GPT.SEQUENCE_COMPARISON.SENIOR.PARTICIPANT_5/Fraction.cs
S1128,Legibilidade,Identação e formatação consistentes,"Unnecessary ""using"" should be removed",GEMINI,ARRAY_DIFFERENCE,JUNIOR,7,ArrayDifference.cs,3,Remove this unnecessary 'using'.,1min,MINOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ArrayDifference.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,JUNIOR,7,ArrayDifference.cs,7,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ArrayDifference.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,JUNIOR,7,ArrayDifference.cs,7,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.JUNIOR.PARTICIPANT_7/ArrayDifference.cs
S1118,Estrutura,Alta coesão,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,PLENO,6,ArrayUtils.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/ArrayUtils.cs
S1118,Testabilidade,Interfaces bem definidas,Utility classes should not have public constructors,GEMINI,ARRAY_DIFFERENCE,PLENO,6,ArrayUtils.cs,6,Add a 'protected' constructor or the 'static' keyword to the class declaration.,10min,MAJOR,CODE_SMELL,OPEN,AIConnection:GEMINI.ARRAY_DIFFERENCE.PLENO.PARTICIPANT_6/ArrayUtils.cs
